,comName,sciName,measure_name,time,detections_cnt
227,American Crow,Corvus brachyrhynchos,Confidence,2024-02-12 14:00:00.000000000,2
228,American Crow,Corvus brachyrhynchos,Confidence,2024-02-12 15:00:00.000000000,6
229,American Crow,Corvus brachyrhynchos,Confidence,2024-02-12 17:00:00.000000000,7
230,American Crow,Corvus brachyrhynchos,Confidence,2024-02-12 21:00:00.000000000,3
231,American Crow,Corvus brachyrhynchos,Confidence,2024-02-12 23:00:00.000000000,15
232,American Crow,Corvus brachyrhynchos,Confidence,2024-02-13 00:00:00.000000000,2
233,American Crow,Corvus brachyrhynchos,Confidence,2024-02-13 15:00:00.000000000,7
234,American Crow,Corvus brachyrhynchos,Confidence,2024-02-13 16:00:00.000000000,2
235,American Crow,Corvus brachyrhynchos,Confidence,2024-02-13 17:00:00.000000000,18
236,American Crow,Corvus brachyrhynchos,Confidence,2024-02-13 18:00:00.000000000,9
237,American Crow,Corvus brachyrhynchos,Confidence,2024-02-13 19:00:00.000000000,3
238,American Crow,Corvus brachyrhynchos,Confidence,2024-02-13 20:00:00.000000000,2
239,American Crow,Corvus brachyrhynchos,Confidence,2024-02-13 21:00:00.000000000,23
240,American Crow,Corvus brachyrhynchos,Confidence,2024-02-13 22:00:00.000000000,7
241,American Crow,Corvus brachyrhynchos,Confidence,2024-02-14 16:00:00.000000000,2
242,American Crow,Corvus brachyrhynchos,Confidence,2024-02-14 17:00:00.000000000,3
243,American Crow,Corvus brachyrhynchos,Confidence,2024-02-14 18:00:00.000000000,3
244,American Crow,Corvus brachyrhynchos,Confidence,2024-02-14 20:00:00.000000000,4
245,American Crow,Corvus brachyrhynchos,Confidence,2024-02-15 00:00:00.000000000,2
246,American Crow,Corvus brachyrhynchos,Confidence,2024-02-15 15:00:00.000000000,5
247,American Crow,Corvus brachyrhynchos,Confidence,2024-02-15 16:00:00.000000000,12
248,American Crow,Corvus brachyrhynchos,Confidence,2024-02-15 17:00:00.000000000,6
249,American Crow,Corvus brachyrhynchos,Confidence,2024-02-15 18:00:00.000000000,4
250,American Crow,Corvus brachyrhynchos,Confidence,2024-02-16 01:00:00.000000000,4
251,American Crow,Corvus brachyrhynchos,Confidence,2024-02-16 16:00:00.000000000,3
252,American Crow,Corvus brachyrhynchos,Confidence,2024-02-16 17:00:00.000000000,8
253,American Crow,Corvus brachyrhynchos,Confidence,2024-02-16 18:00:00.000000000,9
254,American Crow,Corvus brachyrhynchos,Confidence,2024-02-16 19:00:00.000000000,5
255,American Crow,Corvus brachyrhynchos,Confidence,2024-02-16 20:00:00.000000000,12
256,American Crow,Corvus brachyrhynchos,Confidence,2024-02-16 21:00:00.000000000,8
257,American Crow,Corvus brachyrhynchos,Confidence,2024-02-16 23:00:00.000000000,6
258,American Crow,Corvus brachyrhynchos,Confidence,2024-02-17 00:00:00.000000000,3
259,American Crow,Corvus brachyrhynchos,Confidence,2024-02-17 14:00:00.000000000,2
260,American Crow,Corvus brachyrhynchos,Confidence,2024-02-17 15:00:00.000000000,2
261,Mallard,Anas platyrhynchos,Confidence,2024-01-29 01:00:00.000000000,2
262,Mallard,Anas platyrhynchos,Confidence,2024-02-12 03:00:00.000000000,2
263,Mallard,Anas platyrhynchos,Confidence,2024-02-14 02:00:00.000000000,2
264,Mallard,Anas platyrhynchos,Confidence,2024-02-14 04:00:00.000000000,2
265,Spotted Towhee,Pipilo maculatus,Confidence,2024-02-16 00:00:00.000000000,3
266,Spotted Towhee,Pipilo maculatus,Confidence,2024-02-16 19:00:00.000000000,3
267,Lesser Goldfinch,Spinus psaltria,Confidence,2024-01-27 18:00:00.000000000,2
268,Lesser Goldfinch,Spinus psaltria,Confidence,2024-01-27 20:00:00.000000000,2
269,Lesser Goldfinch,Spinus psaltria,Confidence,2024-01-28 18:00:00.000000000,2
270,Lesser Goldfinch,Spinus psaltria,Confidence,2024-01-28 19:00:00.000000000,2
271,Lesser Goldfinch,Spinus psaltria,Confidence,2024-01-28 22:00:00.000000000,2
272,Lesser Goldfinch,Spinus psaltria,Confidence,2024-02-11 19:00:00.000000000,2
273,Lesser Goldfinch,Spinus psaltria,Confidence,2024-02-13 17:00:00.000000000,3
274,Lesser Goldfinch,Spinus psaltria,Confidence,2024-02-14 14:00:00.000000000,2
275,Lesser Goldfinch,Spinus psaltria,Confidence,2024-02-15 14:00:00.000000000,2
276,Lesser Goldfinch,Spinus psaltria,Confidence,2024-02-15 15:00:00.000000000,3
277,Lesser Goldfinch,Spinus psaltria,Confidence,2024-02-17 00:00:00.000000000,2
278,Mountain Chickadee,Poecile gambeli,Confidence,2024-01-27 18:00:00.000000000,4
279,Mountain Chickadee,Poecile gambeli,Confidence,2024-01-28 00:00:00.000000000,9
280,Mountain Chickadee,Poecile gambeli,Confidence,2024-01-28 01:00:00.000000000,5
281,Mountain Chickadee,Poecile gambeli,Confidence,2024-01-28 14:00:00.000000000,16
282,Mountain Chickadee,Poecile gambeli,Confidence,2024-01-28 19:00:00.000000000,7
283,Mountain Chickadee,Poecile gambeli,Confidence,2024-01-28 21:00:00.000000000,13
284,Mountain Chickadee,Poecile gambeli,Confidence,2024-01-28 22:00:00.000000000,7
285,Mountain Chickadee,Poecile gambeli,Confidence,2024-01-28 23:00:00.000000000,8
286,Mountain Chickadee,Poecile gambeli,Confidence,2024-01-29 00:00:00.000000000,3
287,Mountain Chickadee,Poecile gambeli,Confidence,2024-02-10 23:00:00.000000000,10
288,Mountain Chickadee,Poecile gambeli,Confidence,2024-02-11 00:00:00.000000000,17
289,Mountain Chickadee,Poecile gambeli,Confidence,2024-02-11 14:00:00.000000000,2
290,Mountain Chickadee,Poecile gambeli,Confidence,2024-02-11 15:00:00.000000000,3
291,Mountain Chickadee,Poecile gambeli,Confidence,2024-02-11 17:00:00.000000000,12
292,Mountain Chickadee,Poecile gambeli,Confidence,2024-02-11 18:00:00.000000000,13
293,Mountain Chickadee,Poecile gambeli,Confidence,2024-02-11 19:00:00.000000000,5
294,Mountain Chickadee,Poecile gambeli,Confidence,2024-02-11 20:00:00.000000000,6
295,Mountain Chickadee,Poecile gambeli,Confidence,2024-02-12 14:00:00.000000000,12
296,Mountain Chickadee,Poecile gambeli,Confidence,2024-02-12 15:00:00.000000000,4
297,Mountain Chickadee,Poecile gambeli,Confidence,2024-02-12 16:00:00.000000000,5
298,Mountain Chickadee,Poecile gambeli,Confidence,2024-02-12 17:00:00.000000000,2
299,Mountain Chickadee,Poecile gambeli,Confidence,2024-02-12 18:00:00.000000000,3
300,Mountain Chickadee,Poecile gambeli,Confidence,2024-02-12 20:00:00.000000000,2
301,Mountain Chickadee,Poecile gambeli,Confidence,2024-02-12 23:00:00.000000000,6
302,Mountain Chickadee,Poecile gambeli,Confidence,2024-02-13 00:00:00.000000000,12
